"mz","intercept","label_effect","t_value","p_value","log2_foldchange","neg_log10_p"
276.086252861902,3018.64332820609,1141.94072385873,1.28752529804274,0.197911257806276,0.462885761012334,0.703529501073619
277.08844446281,781.392520739966,378.396744570715,1.61718953977591,0.105837373557478,0.56974333861114,0.975360946065899
278.09341221914,6256.5451630871,-677.357505880848,-0.975936535075412,0.329095915592325,-0.165311149562112,0.482677507698707
279.100566613744,749.524454149257,-29.6292246327341,-0.260604390184746,0.794397603767603,-0.0581885904812188,0.0999620745228427
280.085862406821,466.691331728158,344.238351846894,1.38055971371796,0.167414377441765,0.797108151415127,0.776207247803346
281.110176850071,2000.5865092228,1088.16946752877,1.52419533451668,0.127459923144043,0.626602882224682,0.894626347727549
282.109317861603,549.947899609727,106.122241925089,0.840143890997839,0.400827713495328,0.254555115408289,0.397042258692699
285.0567669226,1600.91620524573,-317.887188184692,-3.96563436129879,7.32010030278785e-05,-0.319343997774609,4.1354829680333
286.069503459074,529.61808499771,553.67092281001,2.70055251921689,0.00692244065835834,1.03239389493208,2.15974075849434
287.088013321302,23007.5043981567,36212.3055028602,3.24841697151773,0.00116049071764257,1.36397535508234,2.93535832896311
288.096744939052,4292.45676125066,5626.02890473713,2.89996794417377,0.00373200824519671,1.20831626795719,2.42805740542943
289.086218554975,11400.1185124307,15199.1714625515,2.84695814862892,0.00441391647869005,1.2223389135096,2.35517588893313
290.090870754874,3514.8412649361,1180.19053162105,1.74271784237272,0.0813829134300512,0.417675391719164,1.08946676687956
290.190633942549,4070.55475860583,4545.57008736395,2.70910564454997,0.00674648539983413,1.0818137277378,2.17092241516495
291.099275857678,11320.4847330206,3688.53381444806,1.78508048097128,0.0742482635275612,0.406893906580663,1.12931369890256
292.101749012443,960.185203102903,233.160142111989,1.37917457646518,0.167840934680555,0.313626999923464,0.77510211062408
293.116387221929,3555.30731482077,-425.543696591911,-1.64215909830073,0.100557036713311,-0.183920570590714,0.997587533233988
294.103331842544,670.067812020051,-52.266185863235,-0.7338694162757,0.463028328457459,-0.117163437804774,0.334392437672334
295.113965234202,1034.33532369682,243.578549124116,1.0162658909598,0.309502786630935,0.305086634360097,0.509335436424187
297.091089975685,504.701077161736,942.446776102837,2.59025507288701,0.0095904840799097,1.51971125689222,2.01815947125189
298.074873266732,361.160661588708,774.885415561487,2.62943940218084,0.00855257730139347,1.65330868564309,2.06790299180915
299.071317721731,669.172414723679,1269.86560333338,2.63264425775082,0.00847230353033102,1.53489121061551,2.07199849350651
300.085374782625,870.94169082711,230.980189968519,1.54632519118225,0.122026051027847,0.339373910340011,0.913547443014785
301.094438235036,734.307413225459,728.160287491033,2.25822750995006,0.0239314789916851,0.99394869251704,1.6210304606812
